# conf-name,group-name,topo,ptf_image_name,ptf,ptf_ip,ptf_ipv6,server,vm_base,dut,comment
r-bobcat-01-t1-28-lag,vm-t2,t1-28-lag,docker-ptf-mlnx,ptf-r-bobcat-01,10.215.6.123/16,,server_72,VM3701,r-bobcat-01,Mellanox MTR testbed
r-bobcat-01-ptf32,vm-t2,ptf32,docker-ptf-mlnx,ptf-r-bobcat-01,10.215.6.123/16,,server_72,VM3701,r-bobcat-01,Mellanox MTR testbed
r-bobcat-01-ptf-any,vm-t2,ptf-any,docker-ptf-mlnx,ptf-r-bobcat-01,10.215.6.123/16,,server_72,VM3701,r-bobcat-01,Mellanox MTR testbed

r-moose-01-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-moose-01,10.215.22.3/16,,server_60,VM2501,r-moose-01,Mellanox MTR testbed
r-moose-01-t0-64,vm-t1,t0-64,docker-ptf-mlnx,ptf-r-moose-01,10.215.22.3/16,,server_60,VM2501,r-moose-01,Mellanox MTR testbed
r-moose-01-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-moose-01,10.215.22.3/16,,server_60,VM2501,r-moose-01,Mellanox MTR testbed
r-moose-01-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-moose-01,10.215.22.3/16,,server_60,VM2501,r-moose-01,Mellanox MTR testbed
r-moose-01-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-moose-01,10.215.22.3/16,,server_60,VM2501,r-moose-01,Mellanox MTR testbed
r-moose-01-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-moose-01,10.215.22.3/16,,server_60,VM2501,r-moose-01,Mellanox MTR testbed

mtvr-moose-02-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtvr-moose-02,10.245.20.122/16,,server_63,VM2801,mtvr-moose-02,Mellanox MTR testbed
mtvr-moose-02-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtvr-moose-02,10.245.20.122/16,,server_63,VM2801,mtvr-moose-02,Mellanox MTR testbed
mtvr-moose-02-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtvr-moose-02,10.245.20.122/16,,server_63,VM2801,mtvr-moose-02,Mellanox MTR testbed
mtvr-moose-02-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtvr-moose-02,10.245.20.122/16,,server_63,VM2801,mtvr-moose-02,Mellanox MTR testbed
mtvr-moose-02-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-mtvr-moose-02,10.245.20.122/16,,server_63,VM2801,mtvr-moose-02,Mellanox MTR testbed

mtvr-moose-03-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtvr-moose-03,10.245.20.182/16,,server_64,VM2901,mtvr-moose-03,Mellanox MTR testbed
mtvr-moose-03-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtvr-moose-03,10.245.20.182/16,,server_64,VM2901,mtvr-moose-03,Mellanox MTR testbed
mtvr-moose-03-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtvr-moose-03,10.245.20.182/16,,server_64,VM2901,mtvr-moose-03,Mellanox MTR testbed
mtvr-moose-03-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtvr-moose-03,10.245.20.182/16,,server_64,VM2901,mtvr-moose-03,Mellanox MTR testbed
mtvr-moose-03-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-mtvr-moose-03,10.245.20.182/16,,server_64,VM2901,mtvr-moose-03,Mellanox MTR testbed

mtvr-moose-04-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtvr-moose-04,10.245.20.62/16,,server_65,VM3001,mtvr-moose-04,Mellanox MTR testbed
mtvr-moose-04-t0-64,vm-t1,t0-64,docker-ptf-mlnx,ptf-mtvr-moose-04,10.245.20.62/16,,server_65,VM3001,mtvr-moose-04,Mellanox MTR testbed
mtvr-moose-04-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtvr-moose-04,10.245.20.62/16,,server_65,VM3001,mtvr-moose-04,Mellanox MTR testbed
mtvr-moose-04-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtvr-moose-04,10.245.20.62/16,,server_65,VM3001,mtvr-moose-04,Mellanox MTR testbed
mtvr-moose-04-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtvr-moose-04,10.245.20.62/16,,server_65,VM3001,mtvr-moose-04,Mellanox MTR testbed
mtvr-moose-04-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-mtvr-moose-04,10.245.20.62/16,,server_65,VM3001,mtvr-moose-04,Mellanox MTR testbed
mtvr-moose-01-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-dummy,1.1.1.1/16,,server_54,VM0000,mtvr-moose-01,Mellanox MTR testbed
mtvr-moose-05-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-dummy,1.1.1.1/16,,server_54,VM0000,mtvr-moose-05,Mellanox MTR testbed
mtvr-moose-06-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-dummy,1.1.1.1/16,,server_54,VM0000,mtvr-moose-06,Mellanox MTR testbed
mtvr-moose-07-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-dummy,1.1.1.1/16,,server_54,VM0000,mtvr-moose-07,Mellanox MTR testbed
mtvr-moose-08-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-dummy,1.1.1.1/16,,server_54,VM0000,mtvr-moose-08,Mellanox MTVR testbed

mtvr-hippo-01-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-dummy,1.1.1.1/16,,server_54,VM0000,mtvr-hippo-01,Mellanox MTR testbed

mtvr-leopard-01-t0,vm-t1,t0,docker-ptf-mlnx,ptf-mtvr-leopard-01,10.245.32.122/20,,server_66,VM3101,mtvr-leopard-01,Mellanox MTVR testbed
mtvr-leopard-01-t1,vm-t1,t1,docker-ptf-mlnx,ptf-mtvr-leopard-01,10.245.32.122/20,,server_66,VM3101,mtvr-leopard-01,Mellanox MTVR testbed
mtvr-leopard-01-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-mtvr-leopard-01,10.245.32.122/20,,server_66,VM3101,mtvr-leopard-01,Mellanox MTVR testbed
mtvr-leopard-01-t1-28-lag,vm-t1,t1-28-lag,docker-ptf-mlnx,ptf-mtvr-leopard-01,10.245.32.122/20,,server_66,VM3101,mtvr-leopard-01,Mellanox MTVR testbed
mtvr-leopard-01-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-mtvr-leopard-01,10.245.32.122/20,,server_66,VM3101,mtvr-leopard-01,Mellanox MTVR testbed
mtvr-leopard-01-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-mtvr-leopard-01,10.245.32.122/20,,server_66,VM3101,mtvr-leopard-01,Mellanox MTVR testbed

r-tigris-04-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-16,vm-t1,t0-16,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-52,vm-t1,t0-52,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-56,vm-t1,t0-56,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-64,vm-t1,t0-64,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-120,vm-t1,t0-120,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1-64-lag,vm-t1,t1-64-lag,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-ptf64,vm-t1,ptf64,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed

r-tigris-13-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-t0-16,vm-t1,t0-16,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-t0-52,vm-t1,t0-52,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-t0-56,vm-t1,t0-56,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-t0-64,vm-t1,t0-64,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-t1-64-lag,vm-t1,t1-64-lag,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-ptf64,vm-t1,ptf64,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed
r-tigris-13-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-tigris-13,10.215.0.61/16,,server_13,VM1301,r-tigris-13,Mellanox MTR testbed

r-tigris-25-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t0-16,vm-t1,t0-16,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t0-52,vm-t1,t0-52,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t0-56,vm-t1,t0-56,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t0-64,vm-t1,t0-64,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t0-120,vm-t1,t0-120,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-t1-64-lag,vm-t1,t1-64-lag,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-ptf64,vm-t1,ptf64,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed
r-tigris-25-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-tigris-25,10.213.84.41/16,,server_1,VM0101,r-tigris-25,Mellanox MTR testbed

r-leopard-01-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-t0-16,vm-t1,t0-16,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-t1-56-lag,vm-t1,t1-56-lag,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,,server_15,VM1501,r-leopard-01,Mellanox MTR testbed
r-leopard-01-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-leopard-01,10.215.22.61/16,,server_15,VM1501,r-leopard-01,Mellanox MTR testbed

r-tigon-04-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-tigon-04,10.213.84.61/16,,server_4,VM0401,r-tigon-04,Mellanox MTR testbed
r-tigon-04-t0-16,vm-t1,t0-16,docker-ptf-mlnx,ptf-r-tigon-04,10.213.84.61/16,,server_4,VM0401,r-tigon-04,Mellanox MTR testbed
